    proID   |         NAME         | Type |     BRAND    | RATE |    MRP   |  DISCOUNT |  CHARGES |  COST   
 132499     | Fuji X-A10 Lumix     |    3 | Fuji         | 0.43 |   414.61 |     8.70% |   174.09 |   541.06
 107249     | Nikon Coolpix A100   |    0 | Nikon        | 5.67 |  6732.08 |     5.18% |    39.11 |  5471.93
 918807     | Nikon Coolpix A300   |    1 | Nikon        | 2.46 |  6079.53 |     7.37% |   154.21 |  5408.98
 808031     | Nikon D5300 24.2MP   |    3 | Nikon        | 4.65 |   679.21 |    20.56% |   123.53 |   769.71
 721798     | Sony H400/B 20 MP    |    1 | Sony         | 1.55 |  2296.72 |    11.42% |   125.65 |  2221.21
 854431     | Nikon D3300 24 MP    |    3 | Nikon        | 3.89 |  2705.12 |    21.49% |    31.03 |  2610.25
 464995     | Fuji X-E3 Digital    |    2 | Fuji         | 1.31 |  7139.14 |     5.36% |    75.02 |  5881.99
 247989     | Nikon Coolpix A100   |    0 | Nikon        | 2.53 |  2375.78 |     3.64% |   185.18 |  1908.70
 406943     | Fuji Instax Mini 70  |    1 | Fuji         | 0.94 |  1191.66 |    24.89% |    86.70 |  1230.48
 419524     | Sony H400/B 20 MP    |    3 | Sony         | 0.60 |  1652.38 |     9.74% |   118.62 |  1601.42
 648016     | Canon EOS 700D 18MP  |    3 | Canon        | 2.21 |  7607.98 |    13.75% |   129.32 |  7184.19
 411342     | Panasonic DC-FZ80K   |    0 | Panasonic    | 4.38 |  2660.09 |     8.20% |   150.10 |  2485.78
 405013     | Nikon D5300 24.2MP   |    0 | Nikon        | 4.46 |  5137.58 |    10.70% |   143.72 |  4801.18
 852980     | Canon IXUS 185 20MP  |    2 | Canon        | 3.60 |  6664.44 |    22.05% |   126.73 |  6488.98
 576411     | FinePix XP120 Lime   |    1 | FinePix      | 1.53 |  3114.18 |     6.34% |   119.24 |  2742.59
 58723      | Nikon A900 20.3 MP   |    3 | Nikon        | 3.28 |  6265.09 |    15.47% |   113.09 |  5973.24
 112391     | Fuji Instax Mini 70  |    2 | Fuji         | 1.11 |  2925.24 |    23.21% |   113.33 |  2912.51
 474771     | Sony H400/B 20 MP    |    0 | Sony         | 0.51 |  2083.09 |    15.45% |    41.37 |  1989.62
 949974     | Canon PowerShot S54  |    2 | Canon        | 3.79 |  4359.21 |     6.68% |   109.05 |  3815.25
 502417     | Canon IXUS 185 20MP  |    2 | Canon        | 1.12 |  1056.53 |     6.91% |    94.89 |   998.43
 885642     | Panasonic DMC-G3WG   |    2 | Panasonic    | 4.56 |  5300.13 |    11.15% |   156.59 |  4981.35
 194157     | Canon EOS 200D       |    1 | Canon        | 4.74 |  7623.30 |    14.48% |    80.13 |  7177.01
 818864     | Sony DSCHX40V 20MP   |    0 | Sony         | 4.92 |   443.72 |    16.47% |   144.38 |   561.16
 856402     | Canon EOS 700D 18MP  |    1 | Canon        | 2.05 |   441.35 |    25.55% |    76.31 |   500.39
 385368     | Sony H400/B 20 MP    |    3 | Sony         | 4.80 |  5729.02 |    18.42% |   146.06 |  5564.03
 166153     | Canon EOS 200D       |    1 | Canon        | 1.10 |  6614.56 |    25.19% |   115.43 |  6467.43
 405458     | Canon EOS 700D 18MP  |    2 | Canon        | 4.03 |  3194.18 |    12.07% |    93.92 |  3023.39
 179029     | Nikon Coolpix B500   |    0 | Nikon        | 2.65 |  4991.44 |    13.21% |    99.01 |  4712.52
 807845     | Fuji X-A10 Lumix     |    1 | Fuji         | 3.45 |  3619.01 |    16.76% |   167.11 |  3570.23
 948756     | FinePix XP120 Lime   |    3 | FinePix      | 2.99 |  2304.68 |    11.74% |   186.52 |  2294.85
 926954     | Sony CS DSC-H300C    |    3 | Sony         | 4.08 |  2447.12 |     4.66% |   145.28 |  2067.09
 931613     | Sony DSCHX40V 20MP   |    1 | Sony         | 1.25 |  3574.08 |    10.33% |    49.19 |  3277.39
 868216     | Sony DSCHX40V 20MP   |    1 | Sony         | 3.68 |  6937.91 |    18.16% |    34.71 |  6590.49
